English (do not edit),Russian (fill this in),Where it appears,Note
Lookup,,Mounts: view tab,
Combat Power Ranking,,Mounts: view tab,
DPS Combat Power Ranking,,Mounts: view tab,
Support Equip Bonuses,,Mounts: view tab,
Collars,,Mounts: view tab,
Insignias,,Mounts: view tab,
Stable Planner,,Mounts: view tab,
"Every mount combat power, ranked by overall strength",,Mounts: tooltip on the Combat Power Ranking tab,
Combat powers ranked for single-target DPS only (boss fights),,Mounts: tooltip on the DPS Ranking tab,
Equip powers ranked for Tank and Healer builds,,Mounts: tooltip on the Support Equip Bonuses tab,
Search mounts...,,Mounts: search box (Lookup),
Search combat powers...,,Mounts: search box (Combat Power Ranking),
Search DPS powers...,,Mounts: search box (DPS Ranking),
Search equip bonuses...,,Mounts: search box (Support Equip Bonuses),
Search collars...,,Mounts: search box (Collars),
Search bonuses by name or effect…,,Mounts: search box (Stable Planner bonus picker),
All Combat Powers,,Mounts: filter dropdown (Lookup),
All Equip Powers,,Mounts: filter dropdown (Lookup),
All Insignia Bonuses,,Mounts: filter dropdown (Lookup),
All Categories,,Mounts: filter dropdown (Collars),
All Types,,Mounts: filter dropdown (Collars),
All Names,,Mounts: filter dropdown (Insignias),
All Qualities,,Mounts: filter dropdown (Insignias),
All Slot Types,,Mounts: filter dropdown (Insignias),
Top in General (All),,Mounts: filter dropdown (DPS Ranking),
Top Magical,,Mounts: filter dropdown (DPS Ranking),
Top Physical,,Mounts: filter dropdown (DPS Ranking),
Celestial,,Mounts: insignia quality tier (use in-game RU name),
Mythic,,Mounts: insignia quality tier (use in-game RU name),
Legendary,,Mounts: insignia quality tier (use in-game RU name),
Epic,,Mounts: insignia quality tier (use in-game RU name),
Rare,,Mounts: insignia quality tier (use in-game RU name),
Uncommon,,Mounts: insignia quality tier (use in-game RU name),
Regal,,Mounts: insignia slot type (use in-game RU name),
Barbed,,Mounts: insignia slot type (use in-game RU name),
Crescent,,Mounts: insignia slot type (use in-game RU name),
Illuminated,,Mounts: insignia slot type (use in-game RU name),
Enlightened,,Mounts: insignia slot type (use in-game RU name),
Preferred Slot,,Mounts: checkbox (Lookup),
4-Slot Only,,Mounts: checkbox (Lookup),
Only mounts with a preferred slot: the matching insignia type gets a +20% bonus there,,Mounts: tooltip on the Preferred Slot checkbox,
Only mounts with four insignia slots (more room for stat bonuses),,Mounts: tooltip on the 4-Slot Only checkbox,
"Pick a mount on the left to see its powers, insignias, and stats.",,"Mounts: Lookup, empty detail panel",
Select a mount to view details,,"Mounts: Lookup, empty detail panel (short)",
Combat Power,,Mounts: detail section label,
Equip Power,,Mounts: detail section label,
Insignia Slots,,Mounts: detail section label,
Role-specific effects,,Mounts: detail section label,
Stacking Buff,,Mounts: detail label,
Notes,,Mounts: detail section label,
Duration:,,Mounts: detail label (before a value),
Max stacks:,,Mounts: detail label (before a value),
Power tier:,,Mounts: detail label (before a value),
Trigger:,,Mounts: detail label (before a value),
Source:,,Mounts: detail label (before a value),
Name,,Mounts: table column header,
Quality,,Mounts: table column header,
Item Level,,Mounts: table column header,
Combined Rating,,Mounts: table column header,
Stats,,Mounts: table column header,
Slot Types,,Mounts: table column header,
Category,,Mounts: table column header,
Type,,Mounts: table column header,
Bonus,,Mounts: table column header,
Rank,,Mounts: table column header,
No mounts match your filters,,Mounts: empty list (Lookup),
No results match your filters,,Mounts: empty list (rankings),
No collars match your filters.,,Mounts: empty list (Collars),
No insignias match your filters.,,Mounts: empty list (Insignias),
No combat power data,,"Mounts: detail, missing data",
No equip power data,,"Mounts: detail, missing data",
No insignia slots,,"Mounts: detail, missing data",
No compatible insignia bonuses,,"Mounts: planner, none found",
No mount in the database can host this bonus.,,"Mounts: planner, none found",
Collar data is not available.,,"Mounts: Collars, data missing",
Insignia data not loaded.,,"Mounts: Insignias, data missing",
+ Add Loadout,,Mounts: Stable Planner button,
Clear All,,Mounts: Stable Planner button,
